query_id,question,category,cause_code,description
Q-002,How does transformer self-attention function in research (Mechanism)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-003,How does learning rate decay function in research (Cause)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-004,How does overfitting in deep neural networks function in research (Effect)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-005,How does parameter efficient fine-tuning LoRA function in research (Advantage)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-006,How does LLM hallucination function in research (Limitation)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-007,How does agentic workflow planning function in research (Challenge)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-008,How does computer vision autonomous driving function in research (Application)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-009,How does convolutional networks vs vision transformers function in research (Comparison)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-010,How does factual accuracy in RAG function in research (Evaluation)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-011,How does concept drift in ML pipelines function in research (Prediction)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-012,How does out-of-distribution inputs in neural nets function in research (Detection)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-014,How does diffusion model denoising step function in research (Mechanism)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-015,How does gradient vanishing in deep networks function in research (Cause)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-016,How does dropout regularization on generalization function in research (Effect)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-017,How does quantization for model compression function in research (Advantage)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-018,How does context window length constraints in LLMs function in research (Limitation)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-019,How does multi-agent coordination bottlenecks function in research (Challenge)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-020,How does graph neural networks molecular prediction function in research (Application)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-021,How does supervised fine-tuning vs RLHF function in research (Comparison)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-022,How does chain of thought reasoning quality function in research (Evaluation)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
Q-023,How does training loss convergence rate function in research (Prediction)?,single_domain_ai,I. Query intent wrapper word overhead,Query Intent Wrapper Word Mismatch in Relevance Gate
