query_id,question,category,domain_scope,retrieved_pids_count,citations_count,answer_word_count,isolation_passed,online_fallback_active,confidence
Q-001,How does retrieval augmented generation function in research (Definition)?,single_domain_ai,artificial_intelligence,4,4,103,True,False,Excellent
Q-002,How does transformer self-attention function in research (Mechanism)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-003,How does learning rate decay function in research (Cause)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-004,How does overfitting in deep neural networks function in research (Effect)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-005,How does parameter efficient fine-tuning LoRA function in research (Advantage)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-006,How does LLM hallucination function in research (Limitation)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-007,How does agentic workflow planning function in research (Challenge)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-008,How does computer vision autonomous driving function in research (Application)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-009,How does convolutional networks vs vision transformers function in research (Comparison)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-010,How does factual accuracy in RAG function in research (Evaluation)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-011,How does concept drift in ML pipelines function in research (Prediction)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-012,How does out-of-distribution inputs in neural nets function in research (Detection)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-013,How does explainable AI feature attribution function in research (Definition)?,single_domain_ai,artificial_intelligence,4,4,66,True,False,Excellent
Q-014,How does diffusion model denoising step function in research (Mechanism)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-015,How does gradient vanishing in deep networks function in research (Cause)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-016,How does dropout regularization on generalization function in research (Effect)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-017,How does quantization for model compression function in research (Advantage)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-018,How does context window length constraints in LLMs function in research (Limitation)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-019,How does multi-agent coordination bottlenecks function in research (Challenge)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-020,How does graph neural networks molecular prediction function in research (Application)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-021,How does supervised fine-tuning vs RLHF function in research (Comparison)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-022,How does chain of thought reasoning quality function in research (Evaluation)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-023,How does training loss convergence rate function in research (Prediction)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-024,How does adversarial perturbations in vision models function in research (Detection)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-025,How does deep reinforcement learning function in research (Definition)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-026,How does policy gradient actor-critic update function in research (Mechanism)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-027,How does sparse data in recommendation systems function in research (Cause)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-028,How does catastrophic forgetting in continual learning function in research (Effect)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-029,How does mixture of experts parameter efficiency function in research (Advantage)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-030,How does reward hacking in AI alignment function in research (Limitation)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-031,How does safety constraints in autonomous agents function in research (Challenge)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-032,How does NLP for code synthesis function in research (Application)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-033,How does dense retrieval vs BM25 lexical search function in research (Comparison)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-034,How does RAGAS benchmark scores function in research (Evaluation)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-035,How does hyperparameter optimization performance function in research (Prediction)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-036,How does data poisoning in training sets function in research (Detection)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-037,How does representation learning function in research (Definition)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-038,How does masked language modeling BERT function in research (Mechanism)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-039,How does high dimensionality in feature spaces function in research (Cause)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-040,How does batch normalization on training speed function in research (Effect)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-041,How does pruning redundant network weights function in research (Advantage)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-042,How does quadratic complexity of self-attention function in research (Limitation)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-043,How does latency in real-time LLM inference function in research (Challenge)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-044,How does reinforcement learning robotic control function in research (Application)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-045,How does autoregressive vs non-autoregressive decoding function in research (Comparison)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-046,How does SHAP and LIME interpretability accuracy function in research (Evaluation)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-047,How does model degradation over time function in research (Prediction)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-048,How does bias detection in word embeddings function in research (Detection)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-049,How does foundation models function in research (Definition)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-050,How does contrastive learning SimCLR function in research (Mechanism)?,single_domain_ai,artificial_intelligence,0,0,20,True,True,Insufficient
Q-051,What is the role of network intrusion detection system in cybersecurity (Definition)?,single_domain_cy,cybersecurity,4,4,70,True,False,Excellent
Q-052,What is the role of zero-day malware behavioral analysis in cybersecurity (Mechanism)?,single_domain_cy,cybersecurity,3,3,70,True,False,Excellent
Q-053,What is the role of weak authentication protocols in cybersecurity (Cause)?,single_domain_cy,cybersecurity,4,4,70,True,False,Excellent
Q-054,What is the role of unauthorized data exfiltration in cybersecurity (Effect)?,single_domain_cy,cybersecurity,3,3,70,True,False,Excellent
Q-055,What is the role of homomorphic encryption privacy in cybersecurity (Advantage)?,single_domain_cy,cybersecurity,3,3,70,True,False,Excellent
Q-056,What is the role of signature-based firewalls in cybersecurity (Limitation)?,single_domain_cy,cybersecurity,3,3,70,True,False,Excellent
Q-057,What is the role of securing IoT edge hardware in cybersecurity (Challenge)?,single_domain_cy,cybersecurity,3,3,70,True,False,Excellent
