paper_id,domain,title,retrieved,rank,mrr
AI001,artificial_intelligence,Harnessing Retrieval-Augmented Generation (RAG) for Uncovering Knowledge Gaps,True,1,1.0
AI002,artificial_intelligence,Overview of the TREC 2025 Retrieval Augmented Generation (RAG) Track,True,1,1.0
AI003,artificial_intelligence,Deepchecks: Evaluating Retrieval-Augmented Generation (RAG),True,1,1.0
AI004,artificial_intelligence,On Hyperparameter Optimization of Machine Learning Algorithms: Theory and Practi,True,1,1.0
AI005,artificial_intelligence,Reviewing Data Access Patterns and Computational Redundancy for Machine Learning,True,1,1.0
AI006,artificial_intelligence,Machine Learning Algorithms for Detecting Mental Stress in College Students,True,1,1.0
AI007,artificial_intelligence,Discrimination in machine learning algorithms,True,1,1.0
AI008,artificial_intelligence,AutoML-Zero: Evolving Machine Learning Algorithms From Scratch,True,1,1.0
AI009,artificial_intelligence,A Novel Deep Neural Network Architecture for Mars Visual Navigation,True,1,1.0
AI010,artificial_intelligence,Synthesizing Deep Neural Network Architectures using Biological Synaptic Strengt,True,1,1.0
AI011,artificial_intelligence,ODMTCNet: An Interpretable Multi-view Deep Neural Network Architecture for Image,True,1,1.0
AI012,artificial_intelligence,GuavaNet: A deep neural network architecture for automatic sensory evaluation to,True,1,1.0
AI013,artificial_intelligence,Generalization Tower Network: A Novel Deep Neural Network Architecture for Multi,True,1,1.0
AI014,artificial_intelligence,UloRL:An Ultra-Long Output Reinforcement Learning Approach for Advancing Large L,True,1,1.0
AI015,artificial_intelligence,Large Language Models Reasoning Abilities Under Non-Ideal Conditions After RL-Fi,True,1,1.0
AI016,artificial_intelligence,LLM-Seg: Bridging Image Segmentation and Large Language Model Reasoning,True,1,1.0
AI017,artificial_intelligence,ARMOR-MAD: Adaptive Routing for Heterogeneous Multi-Agent Debate in Large Langua,True,1,1.0
AI018,artificial_intelligence,Making Large Language Models Better Reasoners with Alignment,True,1,1.0
AI019,artificial_intelligence,Problems and Countermeasures in Natural Language Processing Evaluation,True,1,1.0
AI020,artificial_intelligence,Quantized Large Language Models in Biomedical Natural Language Processing: Evalu,True,1,1.0
AI021,artificial_intelligence,MDBench: A Synthetic Multi-Document Reasoning Benchmark Generated with Knowledge,True,1,1.0
AI022,artificial_intelligence,"SIB-200: A Simple, Inclusive, and Big Evaluation Dataset for Topic Classificatio",True,1,1.0
AI023,artificial_intelligence,Towards Contamination Resistant Benchmarks,True,1,1.0
AI024,artificial_intelligence,Accelerating Object Detection with YOLOv4 for Real-Time Applications,True,1,1.0
AI025,artificial_intelligence,MISFIT-V: Misaligned Image Synthesis and Fusion using Information from Thermal a,True,1,1.0
AI026,artificial_intelligence,Edge-Cloud Collaborated Object Detection via Difficult-Case Discriminator,True,1,1.0
AI027,artificial_intelligence,Object Detection Through Exploration With A Foveated Visual Field,True,1,1.0
AI028,artificial_intelligence,Unbiased IoU for Spherical Image Object Detection,True,1,1.0
AI029,artificial_intelligence,Optimizing and Evaluating Enterprise Retrieval-Augmented Generation (RAG): A Con,True,1,1.0
AI030,artificial_intelligence,"SoK: Agentic Retrieval-Augmented Generation (RAG): Taxonomy, Architectures, Eval",True,1,1.0
AI031,artificial_intelligence,Foundations of a Time-Consistent Counterfactual Actuarial Runtime for Autonomous,True,1,1.0
AI032,artificial_intelligence,Toward cryptographically verifiable authorization for autonomous AI agents: A se,True,1,1.0
AI033,artificial_intelligence,AgentWard: A Lifecycle Security Architecture for Autonomous AI Agents,True,1,1.0
AI034,artificial_intelligence,Fully Autonomous AI Agents Should Not be Developed,True,1,1.0
AI035,artificial_intelligence,Behavioral Governance for Autonomous AI Agents: The AgentBound Framework,True,1,1.0
AI036,artificial_intelligence,Class-Dependent Perturbation Effects in Evaluating Time Series Attributions,True,1,1.0
AI037,artificial_intelligence,For Better or Worse: The Impact of Counterfactual Explanations' Directionality o,True,1,1.0
AI038,artificial_intelligence,eXplainable Artificial Intelligence (XAI) in aging clock models,True,1,1.0
AI039,artificial_intelligence,Explainable Artificial Intelligence (XAI) for Increasing User Trust in Deep Rein,True,1,1.0
AI040,artificial_intelligence,Revisiting the Performance-Explainability Trade-Off in Explainable Artificial In,True,1,1.0
AI041,artificial_intelligence,Divergence-Augmented Policy Optimization,True,1,1.0
AI042,artificial_intelligence,From Complexity to Simplicity: Adaptive ES-Active Subspaces for Blackbox Optimiz,True,1,1.0
AI043,artificial_intelligence,Building surrogate models using trajectories of agents trained by Reinforcement ,True,1,1.0
AI044,artificial_intelligence,Beyond Monolithic Rewards: A Hybrid and Multi-Aspect Reward Optimization for MLL,True,1,1.0
AI045,artificial_intelligence,Leveraging Discrete Function Decomposability for Scientific Design,True,1,1.0
AI046,artificial_intelligence,Generative Diffusion Models on Graphs: Methods and Applications,True,1,1.0
AI047,artificial_intelligence,Nonequilbrium physics of generative diffusion models,True,1,1.0
AI048,artificial_intelligence,Theoretical research on generative diffusion models: an overview,True,1,1.0
AI049,artificial_intelligence,Inference Attacks Against Graph Generative Diffusion Models,True,1,1.0
AI050,artificial_intelligence,Conditional sampling within generative diffusion models,True,1,1.0
AI051,artificial_intelligence,Changing Data Sources in the Age of Machine Learning for Official Statistics,False,None,0.0
AI052,artificial_intelligence,DOME: Recommendations for supervised machine learning validation in biology,False,None,0.0
AI053,artificial_intelligence,Learning Curves for Decision Making in Supervised Machine Learning: A Survey,False,None,0.0
AI054,artificial_intelligence,Active learning for data streams: a survey,False,None,0.0
AI055,artificial_intelligence,Physics-Inspired Interpretability Of Machine Learning Models,False,None,0.0
AI056,artificial_intelligence,Privacy-preserving machine learning for healthcare: open challenges and future p,False,None,0.0
AI057,artificial_intelligence,A Benchmark Study of Machine Learning Models for Online Fake News Detection,False,None,0.0
AI058,artificial_intelligence,MerLin: A Discovery Engine for Photonic and Hybrid Quantum Machine Learning,False,None,0.0
AI059,artificial_intelligence,Emotion in Reinforcement Learning Agents and Robots: A Survey,False,None,0.0
AI060,artificial_intelligence,Fourier Learning Machines: Nonharmonic Fourier-Based Neural Networks for Scienti,False,None,0.0
AI061,artificial_intelligence,MEMe: An Accurate Maximum Entropy Method for Efficient Approximations in Large-S,False,None,0.0
AI062,artificial_intelligence,Generalizing Machine Learning Evaluation through the Integration of Shannon Entr,False,None,0.0
AI063,artificial_intelligence,ALERT-Transformer: Bridging Asynchronous and Synchronous Machine Learning for Re,False,None,0.0
AI064,artificial_intelligence,Learning Representations from Dendrograms,False,None,0.0
AI065,artificial_intelligence,Public Policymaking for International Agricultural Trade using Association Rules,False,None,0.0
AI066,artificial_intelligence,Unsupervised Representation Learning with Minimax Distance Measures,False,None,0.0
AI067,artificial_intelligence,Automatic Machine Learning by Pipeline Synthesis using Model-Based Reinforcement,False,None,0.0
AI068,artificial_intelligence,Beyond Volume: The Impact of Complex Healthcare Data on the Machine Learning Pip,False,None,0.0
AI069,artificial_intelligence,Explanatory machine learning for sequential human teaching,False,None,0.0
AI070,artificial_intelligence,ML-Schema: Exposing the Semantics of Machine Learning with Schemas and Ontologie,False,None,0.0
AI071,artificial_intelligence,Reproducibility in Machine Learning for Health,False,None,0.0
AI072,artificial_intelligence,Stop Explaining Black Box Machine Learning Models for High Stakes Decisions and ,False,None,0.0
AI073,artificial_intelligence,A Framework for Implementing Machine Learning on Omics Data,False,None,0.0
AI074,artificial_intelligence,Teaching Uncertainty Quantification in Machine Learning through Use Cases,False,None,0.0
AI075,artificial_intelligence,The Scientific Method in the Science of Machine Learning,False,None,0.0
AI076,artificial_intelligence,Multimodal Machine Learning for Automated ICD Coding,False,None,0.0
AI077,artificial_intelligence,Machine Learning for Health (ML4H) Workshop at NeurIPS 2018,False,None,0.0
AI078,artificial_intelligence,On-Device Machine Learning: An Algorithms and Learning Theory Perspective,False,None,0.0
AI079,artificial_intelligence,Towards Quantification of Bias in Machine Learning for Healthcare: A Case Study ,False,None,0.0
AI080,artificial_intelligence,Bayesian Differential Privacy for Machine Learning,False,None,0.0
AI081,artificial_intelligence,Active WeaSuL: Improving Weak Supervision with Active Learning,False,None,0.0
AI082,artificial_intelligence,Learning to Impute: A General Framework for Semi-supervised Learning,False,None,0.0
AI083,artificial_intelligence,Tradeoffs Between Contrastive and Supervised Learning: An Empirical Study,False,None,0.0
AI084,artificial_intelligence,SelfMatch: Combining Contrastive Self-Supervision and Consistency for Semi-Super,False,None,0.0
AI085,artificial_intelligence,Learning to Predict Gradients for Semi-Supervised Continual Learning,False,None,0.0
AI086,artificial_intelligence,Detecting Heart Disease from Multi-View Ultrasound Images via Supervised Attenti,False,None,0.0
AI087,artificial_intelligence,Temporal Supervised Contrastive Learning for Modeling Patient Risk Progression,False,None,0.0
AI088,artificial_intelligence,InterLUDE: Interactions between Labeled and Unlabeled Data to Enhance Semi-Super,False,None,0.0
AI089,artificial_intelligence,Self-Supervised Learning for Large-Scale Unsupervised Image Clustering,False,None,0.0
AI090,artificial_intelligence,Supervised Contrastive Learning for Accented Speech Recognition,False,None,0.0
AI091,artificial_intelligence,Weakly Supervised Multi-task Learning for Concept-based Explainability,False,None,0.0
AI092,artificial_intelligence,Exploring Self-Supervised Regularization for Supervised and Semi-Supervised Lear,True,8,0.125
AI093,artificial_intelligence,Learn from Anywhere: Rethinking Generalized Zero-Shot Learning with Limited Supe,False,None,0.0
AI094,artificial_intelligence,GraphVICRegHSIC: Towards improved self-supervised representation learning for gr,True,7,0.1429
AI095,artificial_intelligence,Non-Contrastive Self-supervised Learning for Utterance-Level Information Extract,False,None,0.0
AI096,artificial_intelligence,Color Variants Identification in Fashion e-commerce via Contrastive Self-Supervi,False,None,0.0
AI097,artificial_intelligence,Semi-Supervised Multimodal Multi-Instance Learning for Aortic Stenosis Diagnosis,False,None,0.0
AI098,artificial_intelligence,Elastic Weight Consolidation Improves the Robustness of Self-Supervised Learning,False,None,0.0
AI099,artificial_intelligence,FreeMatch: Self-adaptive Thresholding for Semi-supervised Learning,False,None,0.0
AI100,artificial_intelligence,Statistical Limits of Supervised Quantum Learning,False,None,0.0
AI101,artificial_intelligence,Robot Perception enables Complex Navigation Behavior via Self-Supervised Learnin,False,None,0.0
AI102,artificial_intelligence,Operator-valued Kernels for Learning from Functional Response Data,False,None,0.0
AI103,artificial_intelligence,Interpolation Consistency Training for Semi-Supervised Learning,True,8,0.125
AI104,artificial_intelligence,Learning Flat Latent Manifolds with VAEs,False,None,0.0
AI105,artificial_intelligence,Do Self-Supervised and Supervised Methods Learn Similar Visual Representations?,False,None,0.0
AI106,artificial_intelligence,Transfer Learning with Pre-trained Conditional Generative Models,False,None,0.0
AI107,artificial_intelligence,Federated Self-Supervised Learning in Heterogeneous Settings: Limits of a Baseli,False,None,0.0
AI108,artificial_intelligence,Towards Label-efficient Automatic Diagnosis and Analysis: A Comprehensive Survey,False,None,0.0
AI109,artificial_intelligence,Improving Few-Shot Learning with Auxiliary Self-Supervised Pretext Tasks,False,None,0.0
AI110,artificial_intelligence,"Statistical Inference, Learning and Models in Big Data",False,None,0.0
AI111,artificial_intelligence,"Activation Functions, Statistics and Learning of Higher-Order Interactions in Re",False,None,0.0
AI112,artificial_intelligence,Federated Learning with Superquantile Aggregation for Heterogeneous Data,False,None,0.0
AI113,artificial_intelligence,Statistical Inference for the Population Landscape via Moment Adjusted Stochasti,False,None,0.0
AI114,artificial_intelligence,Developmental approach reveals the statistical learning of Neural Language Model,False,None,0.0
AI115,artificial_intelligence,Compressive Statistical Learning with Random Feature Moments,False,None,0.0
AI116,artificial_intelligence,ALEVS: Active Learning by Statistical Leverage Sampling,False,None,0.0
AI117,artificial_intelligence,Spectral learning of Bernoulli linear dynamical systems models,False,None,0.0
AI118,artificial_intelligence,Active Learning Methods based on Statistical Leverage Scores,False,None,0.0
AI119,artificial_intelligence,Learning Correlated Reward Models: Statistical Barriers and Opportunities,False,None,0.0
AI120,artificial_intelligence,Leveraging Machine Learning for Official Statistics: A Statistical Manifesto,False,None,0.0
AI121,artificial_intelligence,Minimal Achievable Sufficient Statistic Learning,False,None,0.0
AI122,artificial_intelligence,Understanding the Statistical Accuracy-Communication Trade-off in Personalized F,False,None,0.0
AI123,artificial_intelligence,Online Statistical Inference of Constant Sample-averaged Q-Learning,False,None,0.0
AI124,artificial_intelligence,Fast rates in statistical and online learning,False,None,0.0
AI125,artificial_intelligence,Controlling Wasserstein Distances by Kernel Norms with Application to Compressiv,False,None,0.0
AI126,artificial_intelligence,Statistical and structural identifiability in representation learning,False,None,0.0
AI127,artificial_intelligence,Semi-Supervised Learning -- A Statistical Physics Approach,False,None,0.0
AI128,artificial_intelligence,"On the Statistical Efficiency of $\ell_{1,p}$ Multi-Task Learning of Gaussian Gr",False,None,0.0
AI129,artificial_intelligence,Statistical Linear Estimation with Penalized Estimators: an Application to Reinf,False,None,0.0
AI130,artificial_intelligence,Transformation Properties of Learned Visual Representations,False,None,0.0
AI131,artificial_intelligence,Variational Gibbs Inference for Statistical Model Estimation from Incomplete Dat,False,None,0.0
AI132,artificial_intelligence,Anomaly Detection on Attributed Networks via Contrastive Self-Supervised Learnin,False,None,0.0
AI133,artificial_intelligence,On-line learning dynamics of ReLU neural networks using statistical physics tech,False,None,0.0
AI134,artificial_intelligence,Fairness and Randomness in Machine Learning: Statistical Independence and Relati,False,None,0.0
AI135,artificial_intelligence,Discriminative Dictionary Learning based on Statistical Methods,False,None,0.0
AI136,artificial_intelligence,Application of Statistical Relational Learning to Hybrid Recommendation Systems,False,None,0.0
AI137,artificial_intelligence,Learn to Accumulate Evidence from All Training Samples: Theory and Practice,False,None,0.0
AI138,artificial_intelligence,The Modern Mathematics of Deep Learning,False,None,0.0
AI139,artificial_intelligence,Deep Learning and Computational Physics (Lecture Notes),False,None,0.0
AI140,artificial_intelligence,Monodense Deep Neural Model for Determining Item Price Elasticity,False,None,0.0
AI141,artificial_intelligence,A multitask deep learning model for real-time deployment in embedded systems,False,None,0.0
AI142,artificial_intelligence,Deep learning observables in computational fluid dynamics,False,None,0.0
AI143,artificial_intelligence,DILIE: Deep Internal Learning for Image Enhancement,False,None,0.0
AI144,artificial_intelligence,Generalized Regularized Evidential Deep Learning Models: Theory and Comprehensiv,False,None,0.0
AI145,artificial_intelligence,Activation Analysis of a Byte-Based Deep Neural Network for Malware Classificati,False,None,0.0
AI146,artificial_intelligence,Predicting Thrombectomy Recanalization from CT Imaging Using Deep Learning Model,False,None,0.0
AI147,artificial_intelligence,DeepCFL: Deep Contextual Features Learning from a Single Image,False,None,0.0
AI148,artificial_intelligence,PePR: Performance Per Resource Unit as a Metric to Promote Small-Scale Deep Lear,False,None,0.0
AI149,artificial_intelligence,Solution of Physics-based Bayesian Inverse Problems with Deep Generative Priors,False,None,0.0
AI150,artificial_intelligence,Hybrid deep learning-based strategy for the hepatocellular carcinoma cancer grad,False,None,0.0
AI151,artificial_intelligence,Memorization in Deep Neural Networks: Does the Loss Function matter?,False,None,0.0
AI152,artificial_intelligence,DCIL: Deep Contextual Internal Learning for Image Restoration and Image Retarget,False,None,0.0
AI153,artificial_intelligence,On the approximation of rough functions with deep neural networks,False,None,0.0
AI154,artificial_intelligence,On ADMM in Deep Learning: Convergence and Saturation-Avoidance,False,None,0.0
AI155,artificial_intelligence,Why & When Deep Learning Works: Looking Inside Deep Learnings,False,None,0.0
AI156,artificial_intelligence,ChainerRL: A Deep Reinforcement Learning Library,False,None,0.0
AI157,artificial_intelligence,A Brief Survey of Deep Reinforcement Learning,False,None,0.0
AI158,artificial_intelligence,Explainable Deep Learning: A Field Guide for the Uninitiated,False,None,0.0
AI159,artificial_intelligence,Classifying Options for Deep Reinforcement Learning,False,None,0.0
AI160,artificial_intelligence,On the Importance of Strong Baselines in Bayesian Deep Learning,False,None,0.0
AI161,artificial_intelligence,ScreenerNet: Learning Self-Paced Curriculum for Deep Neural Networks,False,None,0.0
AI162,artificial_intelligence,Generalization in Deep Learning,False,None,0.0
AI163,artificial_intelligence,Deep Bayesian Multi-Target Learning for Recommender Systems,False,None,0.0
AI164,artificial_intelligence,Multi-agent Deep Reinforcement Learning with Extremely Noisy Observations,False,None,0.0
